No,ExpNumber,Species,Isolates,Treatments ,Dilution,techRep,Full_Exp_Code,Exp_Code,  ,radial_growth,Measurement 1,Measurement 2,Measurement 3,Measurement 4,Dates,Comments
13,EXP5,Diaporthe longicolla,FELCC193,DelaroComplete 3 active ingr (Proth+Trif+Fluop),Dilution1,Rep1,EXP5_FELCC193_DelaroComplete 3 active ingr (Proth+Trif+Fluop)_Dilution1_Rep1,FR_EXP5_13,6.292,Layer1,0,0,0,0,07/10/2024-07/12/2036,
14,EXP5,Diaporthe longicolla,FELCC193,DelaroComplete 3 active ingr (Proth+Trif+Fluop),Dilution1,Rep2,EXP5_FELCC193_DelaroComplete 3 active ingr (Proth+Trif+Fluop)_Dilution1_Rep2,FR_EXP5_14,6.292,Layer1,0,0,0,0,07/10/2024-07/12/2037,
15,EXP5,Diaporthe longicolla,FELCC193,DelaroComplete 3 active ingr (Proth+Trif+Fluop),Dilution1,Rep3,EXP5_FELCC193_DelaroComplete 3 active ingr (Proth+Trif+Fluop)_Dilution1_Rep3,FR_EXP5_15,6.292,Layer1,0,0,0,0,07/10/2024-07/12/2038,
16,EXP5,Diaporthe longicolla,FELCC193,DelaroComplete 3 active ingr (Proth+Trif+Fluop),Dilution2,Rep1,EXP5_FELCC193_DelaroComplete 3 active ingr (Proth+Trif+Fluop)_Dilution2_Rep1,FR_EXP5_16,0.6292,Layer1,0,0,0,0,07/10/2024-07/12/2039,
17,EXP5,Diaporthe longicolla,FELCC193,DelaroComplete 3 active ingr (Proth+Trif+Fluop),Dilution2,Rep2,EXP5_FELCC193_DelaroComplete 3 active ingr (Proth+Trif+Fluop)_Dilution2_Rep2,FR_EXP5_17,0.6292,Layer1,0,0,0,0,07/10/2024-07/12/2040,
18,EXP5,Diaporthe longicolla,FELCC193,DelaroComplete 3 active ingr (Proth+Trif+Fluop),Dilution2,Rep3,EXP5_FELCC193_DelaroComplete 3 active ingr (Proth+Trif+Fluop)_Dilution2_Rep3,FR_EXP5_18,0.6292,Layer1,0,0,0,0,07/10/2024-07/12/2041,
19,EXP5,Diaporthe longicolla,FELCC193,DelaroComplete 3 active ingr (Proth+Trif+Fluop),Dilution3,Rep1,EXP5_FELCC193_DelaroComplete 3 active ingr (Proth+Trif+Fluop)_Dilution3_Rep1,FR_EXP5_19,0.06292,Layer1,0,0,0,0,07/10/2024-07/12/2042,
20,EXP5,Diaporthe longicolla,FELCC193,DelaroComplete 3 active ingr (Proth+Trif+Fluop),Dilution3,Rep2,EXP5_FELCC193_DelaroComplete 3 active ingr (Proth+Trif+Fluop)_Dilution3_Rep2,FR_EXP5_20,0.06292,Layer1,0,0,0,0,07/10/2024-07/12/2043,
21,EXP5,Diaporthe longicolla,FELCC193,DelaroComplete 3 active ingr (Proth+Trif+Fluop),Dilution3,Rep3,EXP5_FELCC193_DelaroComplete 3 active ingr (Proth+Trif+Fluop)_Dilution3_Rep3,FR_EXP5_21,0.06292,Layer1,0,0,0,0,07/10/2024-07/12/2044,
22,EXP5,Diaporthe longicolla,FELCC193,DelaroComplete 3 active ingr (Proth+Trif+Fluop),ddH20,Rep1,EXP5_FELCC193_DelaroComplete 3 active ingr (Proth+Trif+Fluop)_ddH20_Rep1,FR_EXP5_22,0,Layer1,4.487,4.699,3.321,4.93,07/10/2024-07/12/2045,
23,EXP5,Diaporthe longicolla,FELCC193,DelaroComplete 3 active ingr (Proth+Trif+Fluop),ddH20,Rep2,EXP5_FELCC193_DelaroComplete 3 active ingr (Proth+Trif+Fluop)_ddH20_Rep2,FR_EXP5_23,0,Layer1,11.159,9.575,7.828,9.329,07/10/2024-07/12/2046,
24,EXP5,Diaporthe longicolla,FELCC193,DelaroComplete 3 active ingr (Proth+Trif+Fluop),ddH20,Rep3,EXP5_FELCC193_DelaroComplete 3 active ingr (Proth+Trif+Fluop)_ddH20_Rep3,FR_EXP5_24,0,Layer1,10.299,10.812,9.638,10.176,07/10/2024-07/12/2047,
25,EXP5,Fusarium oxysporum ,FELCC212,DelaroComplete 3 active ingr (Proth+Trif+Fluop),Dilution1,Rep1,EXP5_FELCC212_DelaroComplete 3 active ingr (Proth+Trif+Fluop)_Dilution1_Rep1,FR_EXP5_25,6.292,Layer1,0.954,1.307,1.484,0.751,07/10/2024-07/12/2048,
26,EXP5,Fusarium oxysporum ,FELCC212,DelaroComplete 3 active ingr (Proth+Trif+Fluop),Dilution1,Rep2,EXP5_FELCC212_DelaroComplete 3 active ingr (Proth+Trif+Fluop)_Dilution1_Rep2,FR_EXP5_26,6.292,Layer1,0.883,1.025,0.659,0.601,07/10/2024-07/12/2049,
27,EXP5,Fusarium oxysporum ,FELCC212,DelaroComplete 3 active ingr (Proth+Trif+Fluop),Dilution1,Rep3,EXP5_FELCC212_DelaroComplete 3 active ingr (Proth+Trif+Fluop)_Dilution1_Rep3,FR_EXP5_27,6.292,Layer1,0.877,0.683,0.883,0.877,07/10/2024-07/12/2050,
28,EXP5,Fusarium oxysporum ,FELCC212,DelaroComplete 3 active ingr (Proth+Trif+Fluop),Dilution2,Rep1,EXP5_FELCC212_DelaroComplete 3 active ingr (Proth+Trif+Fluop)_Dilution2_Rep1,FR_EXP5_28,0.6292,Layer1,0.578,0.789,1.119,0.624,07/10/2024-07/12/2051,
29,EXP5,Fusarium oxysporum ,FELCC212,DelaroComplete 3 active ingr (Proth+Trif+Fluop),Dilution2,Rep2,EXP5_FELCC212_DelaroComplete 3 active ingr (Proth+Trif+Fluop)_Dilution2_Rep2,FR_EXP5_29,0.6292,Layer1,1.069,0.98,1.484,1.246,07/10/2024-07/12/2052,
30,EXP5,Fusarium oxysporum ,FELCC212,DelaroComplete 3 active ingr (Proth+Trif+Fluop),Dilution2,Rep3,EXP5_FELCC212_DelaroComplete 3 active ingr (Proth+Trif+Fluop)_Dilution2_Rep3,FR_EXP5_30,0.6292,Layer1,0.998,1.033,0.804,0.777,07/10/2024-07/12/2053,
31,EXP5,Fusarium oxysporum ,FELCC212,DelaroComplete 3 active ingr (Proth+Trif+Fluop),Dilution3,Rep1,EXP5_FELCC212_DelaroComplete 3 active ingr (Proth+Trif+Fluop)_Dilution3_Rep1,FR_EXP5_31,0.06292,Layer1,2.25,2.685,1.827,2.839,07/10/2024-07/12/2054,
32,EXP5,Fusarium oxysporum ,FELCC212,DelaroComplete 3 active ingr (Proth+Trif+Fluop),Dilution3,Rep2,EXP5_FELCC212_DelaroComplete 3 active ingr (Proth+Trif+Fluop)_Dilution3_Rep2,FR_EXP5_32,0.06292,Layer1,2.358,2.756,2.949,2.509,07/10/2024-07/12/2055,
33,EXP5,Fusarium oxysporum ,FELCC212,DelaroComplete 3 active ingr (Proth+Trif+Fluop),Dilution3,Rep3,EXP5_FELCC212_DelaroComplete 3 active ingr (Proth+Trif+Fluop)_Dilution3_Rep3,FR_EXP5_33,0.06292,Layer1,2.333,2.474,2.743,2.3,07/10/2024-07/12/2056,
34,EXP5,Fusarium oxysporum ,FELCC212,DelaroComplete 3 active ingr (Proth+Trif+Fluop),ddH20,Rep1,EXP5_FELCC212_DelaroComplete 3 active ingr (Proth+Trif+Fluop)_ddH20_Rep1,FR_EXP5_34,0,Layer1,9.014,5.971,16.08,5.338,07/10/2024-07/12/2057,
35,EXP5,Fusarium oxysporum ,FELCC212,DelaroComplete 3 active ingr (Proth+Trif+Fluop),ddH20,Rep2,EXP5_FELCC212_DelaroComplete 3 active ingr (Proth+Trif+Fluop)_ddH20_Rep2,FR_EXP5_35,0,Layer1,16.29,16.472,16.217,15.876,07/10/2024-07/12/2058,
36,EXP5,Fusarium oxysporum ,FELCC212,DelaroComplete 3 active ingr (Proth+Trif+Fluop),ddH20,Rep3,EXP5_FELCC212_DelaroComplete 3 active ingr (Proth+Trif+Fluop)_ddH20_Rep3,FR_EXP5_36,0,Layer1,6.186,5.088,4.668,5.724,07/10/2024-07/12/2059,
37,EXP5,Fusarium solani ,FELCC214,DelaroComplete 3 active ingr (Proth+Trif+Fluop),Dilution1,Rep1,EXP5_FELCC214_DelaroComplete 3 active ingr (Proth+Trif+Fluop)_Dilution1_Rep1,FR_EXP5_37,6.292,Layer1,0,0,0,0,07/10/2024-07/12/2060,
38,EXP5,Fusarium solani ,FELCC214,DelaroComplete 3 active ingr (Proth+Trif+Fluop),Dilution1,Rep2,EXP5_FELCC214_DelaroComplete 3 active ingr (Proth+Trif+Fluop)_Dilution1_Rep2,FR_EXP5_38,6.292,Layer1,0,0,0,0,07/10/2024-07/12/2061,
39,EXP5,Fusarium solani ,FELCC214,DelaroComplete 3 active ingr (Proth+Trif+Fluop),Dilution1,Rep3,EXP5_FELCC214_DelaroComplete 3 active ingr (Proth+Trif+Fluop)_Dilution1_Rep3,FR_EXP5_39,6.292,Layer1,0,0,0,0,07/10/2024-07/12/2062,
40,EXP5,Fusarium solani ,FELCC214,DelaroComplete 3 active ingr (Proth+Trif+Fluop),Dilution2,Rep1,EXP5_FELCC214_DelaroComplete 3 active ingr (Proth+Trif+Fluop)_Dilution2_Rep1,FR_EXP5_40,0.6292,Layer1,0,0,0,0,07/10/2024-07/12/2063,
41,EXP5,Fusarium solani ,FELCC214,DelaroComplete 3 active ingr (Proth+Trif+Fluop),Dilution2,Rep2,EXP5_FELCC214_DelaroComplete 3 active ingr (Proth+Trif+Fluop)_Dilution2_Rep2,FR_EXP5_41,0.6292,Layer1,0,0,0,0,07/10/2024-07/12/2064,
42,EXP5,Fusarium solani ,FELCC214,DelaroComplete 3 active ingr (Proth+Trif+Fluop),Dilution2,Rep3,EXP5_FELCC214_DelaroComplete 3 active ingr (Proth+Trif+Fluop)_Dilution2_Rep3,FR_EXP5_42,0.6292,Layer1,0,0,0,0,07/10/2024-07/12/2065,
43,EXP5,Fusarium solani ,FELCC214,DelaroComplete 3 active ingr (Proth+Trif+Fluop),Dilution3,Rep1,EXP5_FELCC214_DelaroComplete 3 active ingr (Proth+Trif+Fluop)_Dilution3_Rep1,FR_EXP5_43,0.06292,Layer1,0,0,0,0,07/10/2024-07/12/2066,
44,EXP5,Fusarium solani ,FELCC214,DelaroComplete 3 active ingr (Proth+Trif+Fluop),Dilution3,Rep2,EXP5_FELCC214_DelaroComplete 3 active ingr (Proth+Trif+Fluop)_Dilution3_Rep2,FR_EXP5_44,0.06292,Layer1,0,0,0,0,07/10/2024-07/12/2067,
45,EXP5,Fusarium solani ,FELCC214,DelaroComplete 3 active ingr (Proth+Trif+Fluop),Dilution3,Rep3,EXP5_FELCC214_DelaroComplete 3 active ingr (Proth+Trif+Fluop)_Dilution3_Rep3,FR_EXP5_45,0.06292,Layer1,0,0,0,0,07/10/2024-07/12/2068,
46,EXP5,Fusarium solani ,FELCC214,DelaroComplete 3 active ingr (Proth+Trif+Fluop),ddH20,Rep1,EXP5_FELCC214_DelaroComplete 3 active ingr (Proth+Trif+Fluop)_ddH20_Rep1,FR_EXP5_46,0,Layer1,4.543,4.381,4.317,4.54,07/10/2024-07/12/2069,
47,EXP5,Fusarium solani ,FELCC214,DelaroComplete 3 active ingr (Proth+Trif+Fluop),ddH20,Rep2,EXP5_FELCC214_DelaroComplete 3 active ingr (Proth+Trif+Fluop)_ddH20_Rep2,FR_EXP5_47,0,Layer1,5.237,4.736,4.188,5.11,07/10/2024-07/12/2070,
48,EXP5,Fusarium solani ,FELCC214,DelaroComplete 3 active ingr (Proth+Trif+Fluop),ddH20,Rep3,EXP5_FELCC214_DelaroComplete 3 active ingr (Proth+Trif+Fluop)_ddH20_Rep3,FR_EXP5_48,0,Layer1,5.149,5.901,5.406,5.354,07/10/2024-07/12/2071,
49,EXP5,Rhizoctonia solani,FELCC 26,Topguard EQ 2 active ingr (Flut+Azoxys),Dilution1,Rep1,EXP5_FELCC 26_Topguard EQ 2 active ingr (Flut+Azoxys)_Dilution1_Rep1,FR_EXP5_49,4.9128,Layer1,1.925,2.049,2.085,1.961,07/10/2024-07/12/2072,
50,EXP5,Rhizoctonia solani,FELCC 26,Topguard EQ 2 active ingr (Flut+Azoxys),Dilution1,Rep2,EXP5_FELCC 26_Topguard EQ 2 active ingr (Flut+Azoxys)_Dilution1_Rep2,FR_EXP5_50,4.9128,Layer1,1.107,2.803,1.201,0.977,07/10/2024-07/12/2073,
51,EXP5,Rhizoctonia solani,FELCC 26,Topguard EQ 2 active ingr (Flut+Azoxys),Dilution1,Rep3,EXP5_FELCC 26_Topguard EQ 2 active ingr (Flut+Azoxys)_Dilution1_Rep3,FR_EXP5_51,4.9128,Layer1,1.139,1.21,1.033,1.29,07/10/2024-07/12/2074,
52,EXP5,Rhizoctonia solani,FELCC 26,Topguard EQ 2 active ingr (Flut+Azoxys),Dilution2,Rep1,EXP5_FELCC 26_Topguard EQ 2 active ingr (Flut+Azoxys)_Dilution2_Rep1,FR_EXP5_52,0.49128,Layer1,1.61,0.796,1.061,1.096,07/10/2024-07/12/2075,
53,EXP5,Rhizoctonia solani,FELCC 26,Topguard EQ 2 active ingr (Flut+Azoxys),Dilution2,Rep2,EXP5_FELCC 26_Topguard EQ 2 active ingr (Flut+Azoxys)_Dilution2_Rep2,FR_EXP5_53,0.49128,Layer1,1.484,1.484,1.573,1.361,07/10/2024-07/12/2076,
54,EXP5,Rhizoctonia solani,FELCC 26,Topguard EQ 2 active ingr (Flut+Azoxys),Dilution2,Rep3,EXP5_FELCC 26_Topguard EQ 2 active ingr (Flut+Azoxys)_Dilution2_Rep3,FR_EXP5_54,0.49128,Layer1,0,0,0,0,07/10/2024-07/12/2077,
55,EXP5,Rhizoctonia solani,FELCC 26,Topguard EQ 2 active ingr (Flut+Azoxys),Dilution3,Rep1,EXP5_FELCC 26_Topguard EQ 2 active ingr (Flut+Azoxys)_Dilution3_Rep1,FR_EXP5_55,0.049128,Layer1,1.237,1.272,0.53,0.989,07/10/2024-07/12/2078,
56,EXP5,Rhizoctonia solani,FELCC 26,Topguard EQ 2 active ingr (Flut+Azoxys),Dilution3,Rep2,EXP5_FELCC 26_Topguard EQ 2 active ingr (Flut+Azoxys)_Dilution3_Rep2,FR_EXP5_56,0.049128,Layer1,1.378,1.06,0.777,1.749,07/10/2024-07/12/2079,
57,EXP5,Rhizoctonia solani,FELCC 26,Topguard EQ 2 active ingr (Flut+Azoxys),Dilution3,Rep3,EXP5_FELCC 26_Topguard EQ 2 active ingr (Flut+Azoxys)_Dilution3_Rep3,FR_EXP5_57,0.049128,Layer1,0.884,1.625,2.049,0.743,07/10/2024-07/12/2080,
58,EXP5,Rhizoctonia solani,FELCC 26,Topguard EQ 2 active ingr (Flut+Azoxys),ddH20,Rep1,EXP5_FELCC 26_Topguard EQ 2 active ingr (Flut+Azoxys)_ddH20_Rep1,FR_EXP5_58,0,Layer1,16.077,15.864,15.653,16.006,07/10/2024-07/12/2081,
59,EXP5,Rhizoctonia solani,FELCC 26,Topguard EQ 2 active ingr (Flut+Azoxys),ddH20,Rep2,EXP5_FELCC 26_Topguard EQ 2 active ingr (Flut+Azoxys)_ddH20_Rep2,FR_EXP5_59,0,Layer1,19.432,16.713,19.151,18.479,07/10/2024-07/12/2082,
60,EXP5,Rhizoctonia solani,FELCC 26,Topguard EQ 2 active ingr (Flut+Azoxys),ddH20,Rep3,EXP5_FELCC 26_Topguard EQ 2 active ingr (Flut+Azoxys)_ddH20_Rep3,FR_EXP5_60,0,Layer1,18.549,17.666,17.566,17.348,07/10/2024-07/12/2083,
61,EXP5,Diaporthe longicolla,FELCC193,Topguard EQ 2 active ingr (Flut+Azoxys),Dilution1,Rep1,EXP5_FELCC193_Topguard EQ 2 active ingr (Flut+Azoxys)_Dilution1_Rep1,FR_EXP5_61,4.9128,Layer1,0,0,0,0,07/10/2024-07/12/2084,
62,EXP5,Diaporthe longicolla,FELCC193,Topguard EQ 2 active ingr (Flut+Azoxys),Dilution1,Rep2,EXP5_FELCC193_Topguard EQ 2 active ingr (Flut+Azoxys)_Dilution1_Rep2,FR_EXP5_62,4.9128,Layer1,0,0,0,0,07/10/2024-07/12/2085,
63,EXP5,Diaporthe longicolla,FELCC193,Topguard EQ 2 active ingr (Flut+Azoxys),Dilution1,Rep3,EXP5_FELCC193_Topguard EQ 2 active ingr (Flut+Azoxys)_Dilution1_Rep3,FR_EXP5_63,4.9128,Layer1,0,0,0,0,07/10/2024-07/12/2086,
64,EXP5,Diaporthe longicolla,FELCC193,Topguard EQ 2 active ingr (Flut+Azoxys),Dilution2,Rep1,EXP5_FELCC193_Topguard EQ 2 active ingr (Flut+Azoxys)_Dilution2_Rep1,FR_EXP5_64,0.49128,Layer1,0,0,0,0,07/10/2024-07/12/2087,
65,EXP5,Diaporthe longicolla,FELCC193,Topguard EQ 2 active ingr (Flut+Azoxys),Dilution2,Rep2,EXP5_FELCC193_Topguard EQ 2 active ingr (Flut+Azoxys)_Dilution2_Rep2,FR_EXP5_65,0.49128,Layer1,0,0,0,0,07/10/2024-07/12/2088,
66,EXP5,Diaporthe longicolla,FELCC193,Topguard EQ 2 active ingr (Flut+Azoxys),Dilution2,Rep3,EXP5_FELCC193_Topguard EQ 2 active ingr (Flut+Azoxys)_Dilution2_Rep3,FR_EXP5_66,0.49128,Layer1,0,0,0,0,07/10/2024-07/12/2089,
67,EXP5,Diaporthe longicolla,FELCC193,Topguard EQ 2 active ingr (Flut+Azoxys),Dilution3,Rep1,EXP5_FELCC193_Topguard EQ 2 active ingr (Flut+Azoxys)_Dilution3_Rep1,FR_EXP5_67,0.049128,Layer1,1.926,4.045,,,07/10/2024-07/12/2090,
68,EXP5,Diaporthe longicolla,FELCC193,Topguard EQ 2 active ingr (Flut+Azoxys),Dilution3,Rep2,EXP5_FELCC193_Topguard EQ 2 active ingr (Flut+Azoxys)_Dilution3_Rep2,FR_EXP5_68,0.049128,Layer1,0,0,0,0,07/10/2024-07/12/2091,
69,EXP5,Diaporthe longicolla,FELCC193,Topguard EQ 2 active ingr (Flut+Azoxys),Dilution3,Rep3,EXP5_FELCC193_Topguard EQ 2 active ingr (Flut+Azoxys)_Dilution3_Rep3,FR_EXP5_69,0.049128,Layer1,0,0,0,0,07/10/2024-07/12/2092,
70,EXP5,Diaporthe longicolla,FELCC193,Topguard EQ 2 active ingr (Flut+Azoxys),ddH20,Rep1,EXP5_FELCC193_Topguard EQ 2 active ingr (Flut+Azoxys)_ddH20_Rep1,FR_EXP5_70,0,Layer1,4.171,4.204,3.185,1.908,07/10/2024-07/12/2093,
71,EXP5,Diaporthe longicolla,FELCC193,Topguard EQ 2 active ingr (Flut+Azoxys),ddH20,Rep2,EXP5_FELCC193_Topguard EQ 2 active ingr (Flut+Azoxys)_ddH20_Rep2,FR_EXP5_71,0,Layer1,4.947,3.818,4.381,2.262,07/10/2024-07/12/2094,
72,EXP5,Diaporthe longicolla,FELCC193,Topguard EQ 2 active ingr (Flut+Azoxys),ddH20,Rep3,EXP5_FELCC193_Topguard EQ 2 active ingr (Flut+Azoxys)_ddH20_Rep3,FR_EXP5_72,0,Layer1,2.756,1.413,3.392,4.593,07/10/2024-07/12/2095,
73,EXP5,Fusarium oxysporum ,FELCC212,Topguard EQ 2 active ingr (Flut+Azoxys),Dilution1,Rep1,EXP5_FELCC212_Topguard EQ 2 active ingr (Flut+Azoxys)_Dilution1_Rep1,FR_EXP5_73,4.9128,Layer1,4.099,4.983,4.134,4.416,07/10/2024-07/12/2096,
74,EXP5,Fusarium oxysporum ,FELCC212,Topguard EQ 2 active ingr (Flut+Azoxys),Dilution1,Rep2,EXP5_FELCC212_Topguard EQ 2 active ingr (Flut+Azoxys)_Dilution1_Rep2,FR_EXP5_74,4.9128,Layer1,3.996,4.207,4.718,4.472,07/10/2024-07/12/2097,
75,EXP5,Fusarium oxysporum ,FELCC212,Topguard EQ 2 active ingr (Flut+Azoxys),Dilution1,Rep3,EXP5_FELCC212_Topguard EQ 2 active ingr (Flut+Azoxys)_Dilution1_Rep3,FR_EXP5_75,4.9128,Layer1,4.207,4.79,5.105,3.961,07/10/2024-07/12/2098,
76,EXP5,Fusarium oxysporum ,FELCC212,Topguard EQ 2 active ingr (Flut+Azoxys),Dilution2,Rep1,EXP5_FELCC212_Topguard EQ 2 active ingr (Flut+Azoxys)_Dilution2_Rep1,FR_EXP5_76,0.49128,Layer1,3.697,4.086,4.401,3.979,07/10/2024-07/12/2099,
77,EXP5,Fusarium oxysporum ,FELCC212,Topguard EQ 2 active ingr (Flut+Azoxys),Dilution2,Rep2,EXP5_FELCC212_Topguard EQ 2 active ingr (Flut+Azoxys)_Dilution2_Rep2,FR_EXP5_77,0.49128,Layer1,5,5.598,5.915,4.19,07/10/2024-07/12/2100,
78,EXP5,Fusarium oxysporum ,FELCC212,Topguard EQ 2 active ingr (Flut+Azoxys),Dilution2,Rep3,EXP5_FELCC212_Topguard EQ 2 active ingr (Flut+Azoxys)_Dilution2_Rep3,FR_EXP5_78,0.49128,Layer1,6.197,5.986,6.866,6.972,07/10/2024-07/12/2101,
79,EXP5,Fusarium oxysporum ,FELCC212,Topguard EQ 2 active ingr (Flut+Azoxys),Dilution3,Rep1,EXP5_FELCC212_Topguard EQ 2 active ingr (Flut+Azoxys)_Dilution3_Rep1,FR_EXP5_79,0.049128,Layer1,11.2,9.084,11.267,9.436,07/10/2024-07/12/2102,
80,EXP5,Fusarium oxysporum ,FELCC212,Topguard EQ 2 active ingr (Flut+Azoxys),Dilution3,Rep2,EXP5_FELCC212_Topguard EQ 2 active ingr (Flut+Azoxys)_Dilution3_Rep2,FR_EXP5_80,0.049128,Layer1,11.127,11.271,12.045,10.849,07/10/2024-07/12/2103,
81,EXP5,Fusarium oxysporum ,FELCC212,Topguard EQ 2 active ingr (Flut+Azoxys),Dilution3,Rep3,EXP5_FELCC212_Topguard EQ 2 active ingr (Flut+Azoxys)_Dilution3_Rep3,FR_EXP5_81,0.049128,Layer1,7.043,6.515,12.077,11.027,07/10/2024-07/12/2104,
82,EXP5,Fusarium oxysporum ,FELCC212,Topguard EQ 2 active ingr (Flut+Azoxys),ddH20,Rep1,EXP5_FELCC212_Topguard EQ 2 active ingr (Flut+Azoxys)_ddH20_Rep1,FR_EXP5_82,0,Layer1,17.428,16.161,16.232,15.144,07/10/2024-07/12/2105,
83,EXP5,Fusarium oxysporum ,FELCC212,Topguard EQ 2 active ingr (Flut+Azoxys),ddH20,Rep2,EXP5_FELCC212_Topguard EQ 2 active ingr (Flut+Azoxys)_ddH20_Rep2,FR_EXP5_83,0,Layer1,17.041,18.173,16.833,17.861,07/10/2024-07/12/2106,
84,EXP5,Fusarium oxysporum ,FELCC212,Topguard EQ 2 active ingr (Flut+Azoxys),ddH20,Rep3,EXP5_FELCC212_Topguard EQ 2 active ingr (Flut+Azoxys)_ddH20_Rep3,FR_EXP5_84,0,Layer1,17.184,17.012,17.612,14.164,07/10/2024-07/12/2107,
85,EXP5,Fusarium solani ,FELCC214,Topguard EQ 2 active ingr (Flut+Azoxys),Dilution1,Rep1,EXP5_FELCC214_Topguard EQ 2 active ingr (Flut+Azoxys)_Dilution1_Rep1,FR_EXP5_85,4.9128,Layer1,1.232,1.514,1.55,1.373,07/10/2024-07/12/2108,
86,EXP5,Fusarium solani ,FELCC214,Topguard EQ 2 active ingr (Flut+Azoxys),Dilution1,Rep2,EXP5_FELCC214_Topguard EQ 2 active ingr (Flut+Azoxys)_Dilution1_Rep2,FR_EXP5_86,4.9128,Layer1,1.058,0.74,0.845,0.775,07/10/2024-07/12/2109,
87,EXP5,Fusarium solani ,FELCC214,Topguard EQ 2 active ingr (Flut+Azoxys),Dilution1,Rep3,EXP5_FELCC214_Topguard EQ 2 active ingr (Flut+Azoxys)_Dilution1_Rep3,FR_EXP5_87,4.9128,Layer1,0.511,0.669,0.898,0.617,07/10/2024-07/12/2110,
