Lab ID,Project,Site,Biota ID,Medium,QC type,Start date,Mass (g) (dry weight),% Lipid,Clothianidin ,ThiamethoxamD,Bifenthrin ,Desthiopro,Fluoxastrobin ,Ipconazole ,Metconazole ,Pentachloroanisole,Propiconazole,Pyraclostrobin ,Tebuconazole ,ppDDD  ,ppDDE ,ppDDT 
LS5956,AltEn tadpoles,D1,BT024,Tadpole,Environmental,11/7/2021,0.0689,NA,NA,NA,NA,69,NA,NA,NA,NA,NA,NA,NA,NA,72.6,NA
LS5957,AltEn tadpoles,D1,BT025,Tadpole,Environmental,11/7/2021,0.0469,NA,NA,NA,NA,67.5,NA,NA,NA,NA,NA,NA,NA,NA,64,NA
LS5958,AltEn tadpoles,D1,BT026,Tadpole,Environmental,11/7/2021,0.0806,NA,NA,NA,NA,60.2,NA,NA,NA,NA,NA,NA,NA,NA,89.3,9.9
LS5959,AltEn tadpoles,D1,BT027,Tadpole,Environmental,11/7/2021,0.0548,NA,NA,NA,NA,58.5,NA,NA,NA,NA,NA,NA,NA,NA,142.3,21.9
LS5960,AltEn tadpoles,D1,BT028,Tadpole,Environmental,11/7/2021,0.1369,NA,NA,NA,NA,58.3,NA,NA,NA,NA,NA,NA,NA,8.8,89.1,5.8
LS5961,AltEn tadpoles,D1,BT029,Tadpole,Environmental,11/7/2021,0.1102,NA,NA,NA,NA,81.3,NA,NA,NA,NA,NA,NA,NA,5.4,78,7.3
LS5962,AltEn tadpoles,U2,BT040,Tadpole,Environmental,11/8/2021,0.0086,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LS5963,AltEn tadpoles,U2,BT041,Tadpole,Environmental,11/8/2021,0.0543,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LS5964,AltEn tadpoles,U2,BT042,Tadpole,Environmental,11/8/2021,0.019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LS5965,AltEn tadpoles,U2,BT043,Tadpole,Environmental,11/8/2021,0.0604,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LS5966,AltEn tadpoles,U2,BT044,Tadpole,Environmental,11/8/2021,0.0554,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LS5967,AltEn tadpoles,U2,BT045,Tadpole,Environmental,11/8/2021,0.061,NA,NA,NA,NA,20.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LS5968,AltEn tadpoles,U2,BT046,Tadpole,Environmental,11/8/2021,0.0824,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LS5969,AltEn tadpoles,U2,BT047,Tadpole,Environmental,11/8/2021,0.0821,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LS5970,AltEn tadpoles,U2,BT048,Tadpole,Environmental,11/8/2021,0.0794,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LS5971,AltEn tadpoles,U2,BT049,Tadpole,Environmental,11/8/2021,0.0796,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LS5972,AltEn tadpoles,U1,BT060,Tadpole,Environmental,11/8/2021,0.205,NA,NA,NA,NA,10.4,NA,NA,NA,6.8,NA,NA,NA,NA,NA,NA
LS5973,AltEn tadpoles,U1,BT061,Tadpole,Environmental,11/8/2021,0.2101,NA,NA,NA,NA,7.1,NA,NA,NA,2.9,NA,NA,NA,NA,NA,NA
LS5974,AltEn tadpoles,U1,BT062,Tadpole,Environmental,11/8/2021,0.2037,NA,NA,NA,NA,NA,NA,NA,NA,12.8,NA,NA,NA,NA,NA,NA
LS5975,AltEn tadpoles,U1,BT063,Tadpole,Environmental,11/8/2021,0.2065,NA,NA,NA,NA,7.1,NA,NA,NA,7.7,NA,NA,NA,NA,NA,NA
LS5976,AltEn tadpoles,U1,BT064,Tadpole,Environmental,11/8/2021,0.207,NA,NA,NA,NA,6.9,NA,NA,NA,4.8,NA,NA,NA,NA,NA,NA
LS5977,AltEn tadpoles,U1,BT065,Tadpole,Environmental,11/8/2021,0.2031,NA,NA,NA,NA,NA,NA,NA,NA,9.8,NA,NA,NA,NA,NA,NA
LS5978,AltEn tadpoles,U1,BT066,Tadpole,Environmental,11/8/2021,0.2093,NA,NA,NA,NA,NA,NA,NA,NA,8.6,NA,NA,NA,NA,NA,NA
LS5979,AltEn tadpoles,U1,BT067,Tadpole,Environmental,11/8/2021,0.2025,NA,NA,NA,NA,NA,NA,NA,NA,4.9,NA,NA,NA,NA,NA,NA
LS5980,AltEn tadpoles,U1,BT068,Tadpole,Environmental,11/8/2021,0.2037,NA,NA,NA,NA,NA,NA,NA,NA,9.8,NA,NA,NA,NA,NA,NA
LS5981,AltEn tadpoles,U1,BT069,Tadpole,Environmental,11/8/2021,0.2044,NA,NA,NA,NA,NA,NA,NA,NA,4.9,NA,NA,NA,NA,NA,NA
LS5982,AltEn tadpoles,U3,BT080,Tadpole,Environmental,11/8/2021,0.2085,NA,NA,NA,NA,21.7,NA,NA,10,NA,18.1,7.4,8.9,NA,NA,NA
LS5983,AltEn tadpoles,U3,BT081,Tadpole,Environmental,11/8/2021,0.2,NA,NA,NA,NA,33.3,NA,NA,7.9,NA,6.3,7.4,7.4,NA,NA,NA
LS5984,AltEn tadpoles,U3,BT082 (spreadsheet says BT083),Tadpole,Environmental,11/8/2021,0.2085,NA,NA,NA,NA,19.1,NA,NA,5.2,NA,7.2,4.4,6.7,NA,NA,NA
