Lab ID,Project,Site,Biota ID,Lab Note,Medium,QC type,Start date,Mass (g) (dry weight),% Moisture,Acetochlor ,Atrazine ,Azoxystrobin ,Bifenthrin ,Carbendazim ,Clothianidin ,Cyfluthrin (all isomers),Cyproconazole ,Desthio-prothioconazole ,Flufenacet ,Fluxapyroxad ,Ipconazole ,Metolachlor (R and S),"p,p'-DDD  ","p,p'-DDE ","p,p'-DDT ",Pendimethalin ,Penoxsulam ,Propiconazole (cis and trans),Tebuconazole ,Tetraconazole ,Thiabendazole 
LS11002,AltEn Tadpoles 2024,K pond,2,BullFrogTadpole Development Stage: 36 (11/27/24 EML),Tadpole,Environmental,11/2/2023,0.2067,77.81,29.1,,,,,,,,2.2,,,13.7,,,,,,,0.6,6.6,,1.7
LS11004,AltEn Tadpoles 2024,K pond,4,BullFrogTadpole Development Stage: pre-25 (11/27/24 EML),Tadpole,Environmental,11/2/2023,0.2019,65.22,3.2,,,,,,,,1.3,,,3.1,,,,,,,,2.8,,0.7
LS11005,AltEn Tadpoles 2024,K pond,5,BullFrogTadpole Development Stage: 39 (11/27/24 EML),Tadpole,Environmental,11/2/2023,0.2133,79.33,2.1,,,,,,,0.5,6.3,,,13.4,,,,,,,0.9,10.0,0.7,4.1
LS11006,AltEn Tadpoles 2024,K pond,6,BullFrogTadpole Development Stage: 41 (11/27/24 EML),Tadpole,Environmental,11/2/2023,0.1857,80.12,1.1,,,,,,,,0.3,,,1.1,,,,,,,,1.3,,0.9
LS11007,AltEn Tadpoles 2024,K pond,7,BullFrogTadpole Development Stage: 37 (11/27/24 EML),Tadpole,Environmental,11/2/2023,0.2282,79.93,3.2,,,,,,,0.2,2.5,,,8.1,,,,,,,0.3,5.5,0.2,4.3
LS11008,AltEn Tadpoles 2024,K pond,8,BullFrogTadpole Development Stage: 33 (11/27/24 EML),Tadpole,Environmental,11/2/2023,0.2102,79.62,3.1,,,,,,,0.3,3.7,,,13.5,,,,,,,0.6,12.2,0.2,2.3
LS11009,AltEn Tadpoles 2024,N pond,9,BullFrogTadpole Development Stage: 35 (11/27/24 EML),Tadpole,Environmental,11/15/2023,0.201,79.2,,,,,,,,,,,,,,2.2,11.2,,,,,,,
LS11010,AltEn Tadpoles 2024,N pond,10,BullFrogTadpole Development Stage: 36 (11/27/24 EML),Tadpole,Environmental,11/15/2023,0.2009,68.19,,,,,,,,,,,,,,1.3,8.4,,,,,,,
LS11011,AltEn Tadpoles 2024,N pond,11,BullFrogTadpole Development Stage: 33 (11/27/24 EML),Tadpole,Environmental,11/15/2023,0.2005,81.62,,,,,,,,,1.4,,,,,0.9,5.5,,,,0.3,,0.2,
LS11012,AltEn Tadpoles 2024,N pond,12,BullFrogTadpole Development Stage: 34 (11/27/24 EML) ,Tadpole,Environmental,11/15/2023,0.2007,74.15,,,,,,,,,,,,,,1.5,10.7,,,,,,,
LS11013,AltEn Tadpoles 2024,N pond,13,BullFrogTadpole Development Stage: 37 (11/27/24 EML),Tadpole,Environmental,11/15/2023,0.2011,78.05,,,,,,,,,0.4,,,,,2.6,15.3,,,,,,0.3,
LS11014,AltEn Tadpoles 2024,N pond,14,BullFrogTadpole Development Stage: pre-25 (11/27/24 EML),Tadpole,Environmental,10/26/2023,0.192,75.31,,,,,,,,,0.4,,,,,1.1,7.0,,,,,,,
LS11017,AltEn Tadpoles 2024,N pond,16B,BullFrogTadpole Development Stage: pre-25 (11/27/24 EML),Tadpole,Environmental,10/26/2023,0.206,72.68,,,,,,,,,1.3,,,,,1.4,9.2,,,,,,0.4,
LS11019,AltEn Tadpoles 2024,N pond,18,BullFrogTadpole Development Stage: 37 (11/27/24 EML),Tadpole,Environmental,11/15/2023,0.2181,78.24,,,,,,,,,,,,,,1.4,7.8,,,,,,,
LS11020,AltEn Tadpoles 2024,NG pond_p1,19,BullFrogTadpole Development Stage: 37 (11/27/24 EML) ,Tadpole,Environmental,11/16/2023,0.2182,78.89,,,,,,,,,0.3,,,1.0,,,,,,,0.5,,0.4,0.8
LS11021,AltEn Tadpoles 2024,NG pond_p1,20,BullFrogTadpole Development Stage: 37 (11/27/24 EML),Tadpole,Environmental,11/16/2023,0.2134,83.03,,,,,,,,,0.3,,,0.4,,,,,,,0.5,,,
LS11022,AltEn Tadpoles 2024,NG pond_p1,21,BullFrogTadpole Development Stage: 37 (11/27/24 EML),Tadpole,Environmental,11/16/2023,0.2179,82.24,,,,0.4,,,,,,,,0.3,,,,,,,0.2,,,0.6
LS11023,AltEn Tadpoles 2024,NG pond_p1,22,BullFrogTadpole Development Stage: 37 (11/27/24 EML),Tadpole,Environmental,11/16/2023,0.2048,79.41,,,,0.6,,,,,,,,0.3,,,,,,,0.3,,,0.3
LS11024,AltEn Tadpoles 2024,NG pond_p1,23,BullFrogTadpole Development Stage: 36 (11/27/24 EML),Tadpole,Environmental,11/16/2023,0.2061,76.22,,,,,,,,,,,,,,,,,,,,,,
LS11025,AltEn Tadpoles 2024,NG pond_p1,24,BullFrogTadpole Development Stage: 37 (11/27/24 EML),Tadpole,Environmental,11/16/2023,0.2236,83.09,,,,0.6,,,,,,,,,,,0.3,,,,,,,0.8
LS11026,AltEn Tadpoles 2024,NG pond_p1,25,BullFrogTadpole Development Stage: 33 (11/27/24 EML),Tadpole,Environmental,11/16/2023,0.2107,83.29,,,,,,,,,,,,,,,,,,,0.3,,,1.7
LS11027,AltEn Tadpoles 2024,NG pond_p1,26,BullFrogTadpole Development Stage: 37 (11/27/24 EML),Tadpole,Environmental,11/16/2023,0.1961,81.5,,,1.4,,,,,,,,,0.4,,,,,,,0.6,,,0.2
LS11028,AltEn Tadpoles 2024,NG pond_p1,27,BullFrogTadpole Development Stage: 38 (11/27/24 EML),Tadpole,Environmental,11/16/2023,0.2031,83.98,,,,0.4,,,,,,,,,,,0.2,,,,0.4,,,1.5
LS11029,AltEn Tadpoles 2024,NG pond_p1,28,BullFrogTadpole Development Stage: 38 (11/27/24 EML),Tadpole,Environmental,11/16/2023,0.2219,80.46,,,,,,,,,,,,0.6,,,0.4,,,,0.6,,,
LS11061,AltEn Tadpoles 2024,NG Pond,BT001,,Tadpole,Environmental,5/29/2024,0.2126,83.52,,,,0.6,,,,,0.3,,,,0.2,,,,,,0.6,,,0.4
LS11062,AltEn Tadpoles 2024,NG Pond,BT002,,Tadpole,Environmental,5/29/2024,0.183,80.95,,,,0.5,,,,,0.5,,,,0.6,,,,,,0.7,,,0.3
LS11063,AltEn Tadpoles 2024,NG Pond,BT003,,Tadpole,Environmental,5/29/2024,0.2071,81.92,,,,0.4,,,,,0.4,,,,0.2,,,,,,0.4,,,0.2
LS11064,AltEn Tadpoles 2024,NG Pond,BT004,,Tadpole,Environmental,5/29/2024,0.2085,78.27,,,,0.5,,,,,,,,,0.5,,,,,,0.4,,,0.4
LS11065,AltEn Tadpoles 2024,NG Pond,BT005,,Tadpole,Environmental,5/29/2024,0.2207,81.15,,,,0.4,,,,,0.2,,,,0.5,,,,,,0.5,,,
LS11066,AltEn Tadpoles 2024,NG Pond,BT006,,Tadpole,Environmental,5/29/2024,0.2091,79.33,,,,0.4,,,,,0.3,,,,,,,,,,0.6,,,0.3
LS11067,AltEn Tadpoles 2024,NG Pond,BT007,,Tadpole,Environmental,5/29/2024,0.2118,78.58,,,,0.7,,,,,0.5,,,,0.7,,,,,,0.8,,,1.0
LS11068,AltEn Tadpoles 2024,NG Pond,BT008,,Tadpole,Environmental,5/29/2024,0.2022,79.38,,,,1.0,,,,,,,,,0.8,,,,,,0.5,,,0.4
LS11069,AltEn Tadpoles 2024,NG Pond,BT009,,Tadpole,Environmental,5/29/2024,0.22,80.33,,,,0.4,,,,,,,,,0.3,,,,,,0.6,,,0.4
LS11070,AltEn Tadpoles 2024,NG Pond,BT010,,Tadpole,Environmental,5/29/2024,0.2004,79.45,,,,0.5,,,,,0.3,,,,,,,,,,0.5,,,
LS11071,AltEn Tadpoles 2024,Z pond,BT011,,Tadpole,Environmental,5/30/2024,0.1998,85.55,,,,,,,,,0.4,,0.5,,,,,,,,0.5,,,
LS11072,AltEn Tadpoles 2024,Z pond,BT012,,Tadpole,Environmental,5/30/2024,0.2055,83.62,,,,,,,,,0.2,,0.8,,,,,,,,0.4,,,
LS11073,AltEn Tadpoles 2024,Z pond,BT013,,Tadpole,Environmental,5/30/2024,0.1964,85.54,,,,,,,,,0.6,,0.6,,,,,,,,0.6,,,
LS11074,AltEn Tadpoles 2024,Z pond,BT014,,Tadpole,Environmental,5/30/2024,0.1966,84.16,,,,,,,,,0.5,,0.6,,,,,,,,0.6,,,
LS11075,AltEn Tadpoles 2024,Z pond,BT015,,Tadpole,Environmental,5/30/2024,0.1966,85.84,,,,,,,,,0.6,,0.7,,,,,,,,0.8,,,
LS11076,AltEn Tadpoles 2024,N pond,BT016,,Tadpole,Environmental,5/24/2024,0.126,79.6,,0.5,,,,,,,2.5,3.4,,2.9,1.1,1.4,2.9,0.5,,1.0,,,,
LS11077,AltEn Tadpoles 2024,N pond,BT017,,Tadpole,Environmental,5/24/2024,0.1995,80.94,,1.2,,,,,,,1.3,5.8,,1.5,1.8,3.3,4.3,0.8,0.7,1.1,,,,
LS11078,AltEn Tadpoles 2024,N pond,BT018,,Tadpole,Environmental,5/24/2024,0.1968,84.95,,1.1,,,,,,,1.1,4.6,,1.4,1.6,2.2,5.2,0.7,1.2,1.4,,,,
LS11079,AltEn Tadpoles 2024,N pond,BT019,,Tadpole,Environmental,5/24/2024,0.182,84.07,,0.7,,,,,,,1.5,3.2,,1.8,1.1,1.2,3.9,1.3,,1.9,,,,
LS11080,AltEn Tadpoles 2024,N pond,BT020,,Tadpole,Environmental,5/24/2024,0.2111,81.93,,1.1,,,,,,,1.3,3.9,,2.0,1.0,1.6,4.3,0.3,0.5,1.0,,,,
LS11081,AltEn Tadpoles 2024,N pond,BT021,,Tadpole,Environmental,5/24/2024,0.2058,79.43,,1.4,,,,,,,2.0,7.1,,2.1,2.5,5.0,11.0,1.0,1.0,0.6,,,,
LS11082,AltEn Tadpoles 2024,N pond,BT022,,Tadpole,Environmental,5/24/2024,0.1948,81.04,0.9,3.2,,,,,,,0.8,11.2,,0.9,5.3,4.3,10.0,0.4,1.1,,,,,
LS11083,AltEn Tadpoles 2024,N pond,BT023,,Tadpole,Environmental,5/24/2024,0.2069,82.14,0.6,2.0,,,,,,,0.9,6.1,,0.7,3.0,2.8,7.3,0.5,0.9,,,,,
LS11084,AltEn Tadpoles 2024,N pond,BT024,,Tadpole,Environmental,5/24/2024,0.2078,81.94,,1.5,,,,,,,0.9,6.7,,1.1,2.6,4.3,8.6,1.1,0.5,,,,,
LS11088,AltEn Tadpoles 2024,K pond,BT030,,Tadpole,Environmental,6/5/2024,0.2072,85.89,1.1,2.7,,,2.1,,,,3.1,,,6.7,5.3,,,,,,0.2,1.2,,0.2
LS11089,AltEn Tadpoles 2024,K pond,BT031,,Tadpole,Environmental,6/5/2024,0.2057,85.66,0.9,3.0,,,2.9,,,,6.6,,,3.0,5.2,,,,,,0.3,1.2,,0.2
LS11090,AltEn Tadpoles 2024,K pond,BT032,,Tadpole,Environmental,6/5/2024,0.2035,85.62,1.3,3.4,,,1.9,,,,6.1,,,4.8,6.6,,,,,,0.3,1.6,,0.5
LS11091,AltEn Tadpoles 2024,K pond,BT034,,Tadpole,Environmental,6/5/2024,0.2058,84.87,0.9,3.3,,,2.7,,,,5.4,,,6.0,7.1,,,,,,0.5,2.0,,0.5
LS11092,AltEn Tadpoles 2024,K pond,BT035,,Tadpole,Environmental,6/5/2024,0.2018,85.09,0.6,2.9,,,2.9,,,,5.5,,,7.2,4.8,,,,,,0.3,1.7,,1.0
LS11094,AltEn Tadpoles 2024,N pond,BT025,,Tadpole,Environmental,5/24/2024,0.2014,82.84,,1.4,,,,,,,0.7,4.7,,0.8,2.4,2.2,4.7,0.8,1.1,,,,,
LS11095,AltEn Tadpoles 2024,K pond,BT029,,Tadpole,Environmental,5/24/2024,0.2074,85.79,1.1,2.3,,,11.9,,,,6.6,,,11.3,6.0,,,,,,0.4,2.8,,1.7
LS11096,AltEn Tadpoles 2024,K pond,BT033,,Tadpole,Environmental,6/5/2024,0.2081,85.54,,3.5,,,2.5,,,,5.9,,,5.0,6.7,,,,,,0.3,1.4,,1.3
LS11107,AltEn Tadpoles 2024,N pond,22_NT001,,Tadpole,Environmental,6/14/2022,0.0449,82.43,,,,,,,2.9,,,,,,,,1.1,,,,,,,
LS11108,AltEn Tadpoles 2024,N pond,22_NT002,,Tadpole,Environmental,6/14/2022,0.0405,82.11,,,,,,,1.5,,,,,,,,1.0,,,,,,,
LS11109,AltEn Tadpoles 2024,N pond,22_NT003,,Tadpole,Environmental,6/14/2022,0.0305,81.32,,,,,,,4.6,,,,,,,,,,,,,,,
LS11110,AltEn Tadpoles 2024,N pond,22_NT004,,Tadpole,Environmental,6/14/2022,0.0515,80.37,,,,,,,2.3,,,,,,,,0.9,,,,,,,
LS11111,AltEn Tadpoles 2024,N pond,22_NT005,,Tadpole,Environmental,6/14/2022,0.0406,79.9,,,,,,,4.0,,,,,,,,1.4,,,,,,,
LS11112,AltEn Tadpoles 2024,N pond,22_NT006,,Tadpole,Environmental,6/14/2022,0.0507,81.85,,,,,,,1.1,,,,,,,,1.1,,,,,,,
LS11113,AltEn Tadpoles 2024,N pond,22_NT007,,Tadpole,Environmental,6/14/2022,0.0407,84.67,,,,,,,1.5,,,,,,,,1.0,,,,,,,
LS11114,AltEn Tadpoles 2024,N pond,22_NT008,,Tadpole,Environmental,6/14/2022,0.0501,79.16,,,,,,,0.8,,,,,,,,0.9,,,,,,,
LS11115,AltEn Tadpoles 2024,N pond,22_NT009,,Tadpole,Environmental,6/14/2022,0.0446,77.92,,,,,,,3.4,,,,,,,,,,,,,,,
LS11119,AltEn Tadpoles 2024,ENREC 2,22_NT015,,Tadpole,Environmental,6/15/2022,0.0641,4.8,,,,,,,,,,,,4.1,6.0,,3.6,,,,,3.0,,
LS11120,AltEn Tadpoles 2024,ENREC 2,22_NT016,,Tadpole,Environmental,6/15/2022,0.0888,5.89,,,,,,,,,,,,5.8,5.6,,,,,,,2.5,,
LS11121,AltEn Tadpoles 2024,ENREC 2,22_NT017,,Tadpole,Environmental,6/15/2022,0.0685,3.81,,4.6,,,,,,,,,,12.6,14.0,,,,,,,3.9,,
LS11122,AltEn Tadpoles 2024,ENREC 2,22_NT018,,Tadpole,Environmental,6/15/2022,0.0594,9.35,,8.5,,,,,,,,,,17.7,30.8,,,,,,,7.4,,
LS11123,AltEn Tadpoles 2024,ENREC 2,22_NT019,,Tadpole,Environmental,6/15/2022,0.0328,9.04,,35.0,,,,10.8,,,11.1,,,102.5,112.6,,,,,,,38.8,,
LS11124,AltEn Tadpoles 2024,ENREC 2,22_NT020,,Tadpole,Environmental,6/15/2022,0.0562,7.46,,8.6,,,,3.4,,,,,,26.8,34.9,,,,,,,10.4,,
LS11125,AltEn Tadpoles 2024,ENREC 2,22_NT021,,Tadpole,Environmental,6/15/2022,0.0799,6.41,,10.9,,,,2.8,,,2.3,,,32.1,41.5,,,,,,,10.1,,
LS11126,AltEn Tadpoles 2024,ENREC 2,22_NT023,,Tadpole,Environmental,6/15/2022,0.0525,4.41,,,,,,,,,,,,6.0,8.8,,,,,,,,,
LS11127,AltEn Tadpoles 2024,N pond,23_NT001,,Tadpole,Environmental,5/25/2023,0.0345,8.47,,,,,,,,,,,,,,,,,,,,,,
LS11128,AltEn Tadpoles 2024,N pond,23_NT002,,Tadpole,Environmental,5/25/2023,0.1455,56.37,,,,,,,5.8,,,,,,,,0.9,,,,,,,
LS11129,AltEn Tadpoles 2024,N pond,23_NT003,,Tadpole,Environmental,5/25/2023,0.2816,42.07,,,,,,,1.0,,,,,,,,,,,,,,,
LS11130,AltEn Tadpoles 2024,N pond,23_NT004,,Tadpole,Environmental,5/25/2023,0.4724,28.82,,,,,,,1.0,,,,,,,,,,,,,,,
LS11189,AltEn Tadpoles 2024,ENREC 2,23_NT005,Development Stage: p31,Tadpole,Environmental,6/22/2023,0.0123,83.6,,,,,,,,,,,,23.1,,,,,,,,14.0,,
LS11190,AltEn Tadpoles 2024,ENREC 2,23_NT006,Development Stage: p27,Tadpole,Environmental,6/22/2023,0.0053,87.59,,,,,,,,,,,,22.4,,,,,,,,9.0,,
LS11191,AltEn Tadpoles 2024,ENREC 2,23_NT007,Development Stage: p27,Tadpole,Environmental,6/22/2023,0.0052,88.96,,,,,,,,,,,,10.0,,,,,,,,4.2,,
LS11192,AltEn Tadpoles 2024,ENREC 2,23_NT008,Development Stage: p27,Tadpole,Environmental,6/22/2023,0.0101,86.09,,,,,,,,,,,,19.8,,,,,,,,9.7,,
LS11193,AltEn Tadpoles 2024,ENREC 2,23_NT009,Development Stage: p27,Tadpole,Environmental,6/22/2023,0.008,79.9,,,,,,,,,,,,20.6,,,,,,,,12.1,,
LS11194,AltEn Tadpoles 2024,ENREC 2,23_NT010,Development Stage: p27,Tadpole,Environmental,6/22/2023,0.011,84.26,,,,,,,,,,,,18.9,,,,,,,,11.2,,
LS11195,AltEn Tadpoles 2024,ENREC 2,23_NT011,Development Stage: p27,Tadpole,Environmental,6/22/2023,0.0108,83.23,,,,,,,,,,,,19.4,,,6.2,,,,,9.6,,
LS11196,AltEn Tadpoles 2024,ENREC 2,23_NT012,Development Stage: p27,Tadpole,Environmental,6/22/2023,0.0096,83.7,,,,,,,,,,,,18.7,,,,,,,,13.1,,
LS11197,AltEn Tadpoles 2024,ENREC 2,23_NT013,Development Stage: p27; ENREC2 gen - 1 tadpole saved for genetics,Tadpole,Environmental,6/22/2023,0.0111,86.89,,,,,,,,,,,,16.0,,,,,,,2.6,8.2,,
LS11198,AltEn Tadpoles 2024,ENREC 2,23_NT014,Development Stage: p27,Tadpole,Environmental,6/22/2023,0.0115,81.89,,,,,,,,,,,,16.9,,,,,,,,10.9,,
LS11199,AltEn Tadpoles 2024,N pond,24_NT002,Development Stage: 27-30,Tadpole,Environmental,5/24/2024,0.0046,96.2,,,,,,,3.8,,,,,2.5,,,2.7,,,,,,,
LS11200,AltEn Tadpoles 2024,N pond,24_NT003,Development Stage: 27-30,Tadpole,Environmental,5/24/2024,0.0064,91.28,,,,,,,7.3,,,,,5.0,,,4.7,,,,,,,
LS11201,AltEn Tadpoles 2024,N pond,24_NT004,Development Stage: 27-30,Tadpole,Environmental,5/24/2024,0.006,90.74,,,,,,,9.8,,,,,4.9,,,4.9,,,,,,,
LS11202,AltEn Tadpoles 2024,N pond,24_NT005,Development Stage: 27-30,Tadpole,Environmental,5/24/2024,0.0064,88.45,,,,,,,21.9,,,,,,,,8.8,,,,,,,
LS11203,AltEn Tadpoles 2024,N pond,24_NT006,Development Stage: 27-30,Tadpole,Environmental,5/24/2024,0.0065,91.37,,,,,,,16.9,,,,,,,,3.8,,,,,,,
LS11204,AltEn Tadpoles 2024,N pond,24_NT007,Development Stage: 27-30,Tadpole,Environmental,5/24/2024,0.0077,88.23,,,,,,,14.5,,,,,,,,6.8,,,,,,,
LS11205,AltEn Tadpoles 2024,N pond,24_NT008,Development Stage: 27-30,Tadpole,Environmental,5/24/2024,0.0079,89.25,,,,,,,13.7,,,,,,,,3.9,,,,,,,
LS11206,AltEn Tadpoles 2024,ENREC 2,24_NT028,Development Stage: 37,Tadpole,Environmental,6/6/2024,0.0458,90.39,,1.8,,,,,,,2.6,,,7.3,3.0,,,,,,,2.7,,
LS11207,AltEn Tadpoles 2024,ENREC 2,24_NT029,Development Stage: 37,Tadpole,Environmental,6/6/2024,0.059,88.78,,1.5,,,,,,,2.0,,,7.4,2.4,,,,,,,2.0,,
LS11208,AltEn Tadpoles 2024,ENREC 2,24_NT030,Development Stage: 38,Tadpole,Environmental,6/6/2024,0.0577,90.04,,1.7,,,,,,,1.9,,,6.3,3.6,,,,,,,1.7,,
LS11209,AltEn Tadpoles 2024,ENREC 2,24_NT031,Development Stage: 36,Tadpole,Environmental,6/6/2024,0.0392,86.08,,1.3,,,,,,,2.7,,,7.4,2.7,,,,,,,2.0,,
LS11210,AltEn Tadpoles 2024,ENREC 2,24_NT032,Development Stage: 35,Tadpole,Environmental,6/6/2024,0.0214,91.74,,0.8,,,,,,,2.4,,,3.4,2.2,,,,,,,1.1,,
LS11211,AltEn Tadpoles 2024,ENREC 2,24_NT033,Development Stage: 37,Tadpole,Environmental,6/6/2024,0.0453,90.83,,0.8,,,,,,,0.9,,,4.1,1.3,,,,,,,1.2,,
LS11212,AltEn Tadpoles 2024,ENREC 2,24_NT034,Development Stage: 30,Tadpole,Environmental,6/6/2024,0.0223,89.03,,1.5,,,,,,,2.0,,,6.5,2.7,,1.1,,,,,2.3,,
LS11213,AltEn Tadpoles 2024,ENREC 2,24_NT035,Development Stage: 30,Tadpole,Environmental,6/6/2024,0.0341,87.87,,1.3,,,,,,,0.8,,,6.2,3.0,,,,,,,2.1,,
LS11214,AltEn Tadpoles 2024,ENREC 2,24_NT036,Development Stage: 34,Tadpole,Environmental,6/6/2024,0.0377,87.83,,1.2,,,,,,,2.2,,,7.7,2.5,,0.9,,,,,2.3,,
LS11215,AltEn Tadpoles 2024,K pond,24_NT038,Development Stage: p27,Tadpole,Environmental,6/6/2024,0.0289,96.16,,1.4,,,,1.2,1.4,,1.7,,,4.7,5.2,,,,,,,1.9,,
LS11216,AltEn Tadpoles 2024,K pond,24_NT039,Development Stage: p27,Tadpole,Environmental,6/6/2024,0.0213,95.57,,1.4,,,,0.8,3.0,,1.6,,,5.4,4.4,,,,,,,1.7,,
LS11217,AltEn Tadpoles 2024,K pond,24_NT040,Development Stage: 37,Tadpole,Environmental,6/6/2024,0.0384,92.55,,1.7,,,,,3.2,,2.4,,,3.3,3.9,,,,,,,1.0,,
LS11218,AltEn Tadpoles 2024,K pond,24_NT041,Development Stage: 39,Tadpole,Environmental,6/6/2024,0.0347,91.69,,2.3,,,,0.7,4.2,,1.8,,,3.2,5.7,,,,,,,0.9,,
LS11219,AltEn Tadpoles 2024,K pond,24_NT042,Development Stage: p27,Tadpole,Environmental,6/6/2024,0.0359,94.75,,1.7,,,,0.8,2.1,,2.6,,,7.4,4.9,,,,,,,3.1,,
LS11220,AltEn Tadpoles 2024,K pond,24_NT043,Development Stage: p27,Tadpole,Environmental,6/6/2024,0.0553,92.28,,1.0,,,,1.2,2.3,,2.8,,,2.9,3.8,,,,,,,1.7,,
LS11221,AltEn Tadpoles 2024,K pond,24_NT044,Development Stage: 26,Tadpole,Environmental,6/6/2024,0.0233,94.86,,1.2,,,,1.1,3.4,,2.1,,,5.3,3.3,,,,,,,1.8,,
LS11222,AltEn Tadpoles 2024,K pond,24_NT045,Development Stage: 37,Tadpole,Environmental,6/6/2024,0.0431,91.79,,1.3,,,,,2.4,,2.5,,,3.8,1.6,,,,,,,0.9,,
LS11223,AltEn Tadpoles 2024,K pond,24_NT046,Development Stage: 26,Tadpole,Environmental,6/6/2024,0.0202,95.69,,1.4,,,,1.1,2.9,,2.0,,,5.6,4.5,,,,,,,1.5,,
LS11224,AltEn Tadpoles 2024,K pond,24_NT047,"Development Stage: 30; K pond gen - 4 vials, 1 whirlpac",Tadpole,Environmental,6/6/2024,0.0399,94.67,,1.8,,,,1.2,2.4,,3.3,,,7.4,4.7,,,,,,,2.1,,
LS11225,AltEn Tadpoles 2024,Z pond,24_NT048,Development Stage: p27,Tadpole,Environmental,5/30/2024,0.0081,94.81,,,,,,,10.4,,,,,,,,,,,,,,,
LS11226,AltEn Tadpoles 2024,Z pond,24_NT049,Development Stage: p27,Tadpole,Environmental,5/30/2024,0.0041,94.38,,,,,,,,,,,,,,,,,,,,,,
LS11227,AltEn Tadpoles 2024,Z pond,24_NT050,Development Stage: p27,Tadpole,Environmental,5/30/2024,0.0091,92.92,,,,,,,9.1,,,,,,,,,,,,,,,
LS11228,AltEn Tadpoles 2024,NG Pond,24_NT051,Development Stage: p27,Tadpole,Environmental,5/24/2024,0.002,94.9,,,,,,,,,,,,,,,,,,,,,,
LS11229,AltEn Tadpoles 2024,NG Pond,24_NT052,Development Stage: p27,Tadpole,Environmental,5/24/2024,0.013,89.89,,,,,,,,,,,,,,,,,,,,,,
LS11230,AltEn Tadpoles 2024,NG Pond,24_NT053,Development Stage: 30,Tadpole,Environmental,5/24/2024,0.0221,84.18,,,,,,,,,,,,,,,,,,,,,,
LS11231,AltEn Tadpoles 2024,NG Pond,24_NT054,Development Stage: 30,Tadpole,Environmental,5/24/2024,0.0075,90.55,,,,,,,,,,,,,,,,,,,,,,
LS11232,AltEn Tadpoles 2024,NG Pond,24_NT055,Development Stage: 30,Tadpole,Environmental,5/24/2024,0.0035,94.78,,,,,,,,,,,,,,,,,,,,,,
LS11233,AltEn Tadpoles 2024,NG Pond,24_NT056,Development Stage: 33; NG pond gen - 1 tadpole saved,Tadpole,Environmental,5/24/2024,0.0066,91.22,,,,,,,,,,,,,,,,,,,,,,
