Temperature,Site,Specices,Collection_date,Dev_stage,Mass (g) (dry weight),% Moisture,% Lipid,Acetochlor ,Atrazine,Azoxystrobin ,Clothianidin ,Carbendazim ,Cyfluthrin (all isomers),Cyproconazole ,Bifenthrin ,Desthiopro,Dithiopyr ,Flufenacet ,Fluoxastrobin ,Fluxapyroxad ,Ipconazole ,Metolachlor (R and S),Metconazole ,Pendimethalin ,Pentachloroanisole,Propiconazole,Pyraclostrobin ,Tebuconazole ,Penoxsulam ,ppDDD  ,ppDDE ,ppDDT ,Tetraconazole ,Thiabendazole ,ThiamethoxamD
9.97,NGpond_p2,BullFrogTadpole,11/16/2023,30,0.215,83.66,17.21,NA,NA,NA,NA,NA,NA,NA,NA,1.3,NA,NA,,NA,4.1,NA,,NA,,3.3,,5.1,NA,NA,NA,NA,NA,1.7,
9.97,NGpond_p2,BullFrogTadpole,11/16/2023, P25 ,0.2009,78.79,5.97,NA,NA,NA,NA,NA,NA,NA,NA,1.1,NA,NA,,NA,7.3,NA,,NA,,3.4,,9.9,NA,NA,NA,NA,NA,NA,
9.97,NGpond_p2,BullFrogTadpole,11/16/2023, P25 ,0.185,76.94,6.49,NA,NA,NA,NA,NA,NA,NA,NA,1.7,NA,NA,,NA,6,NA,,NA,,2.7,,7.3,NA,NA,NA,NA,NA,NA,
9.97,NGpond_p2,BullFrogTadpole,11/16/2023, P25 ,0.2148,80,6.52,NA,NA,NA,NA,NA,NA,NA,NA,1.2,NA,NA,,NA,3.8,NA,,NA,,2.2,,5.3,NA,NA,NA,NA,NA,NA,
9.97,NGpond_p2,BullFrogTadpole,11/16/2023, P25 ,0.1098,74.81,7.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,3.9,NA,,NA,,1.9,,2.9,NA,NA,NA,NA,NA,NA,
2.52,Kpond,BullFrogTadpole,11/2/2023, pre-25 ,0.2254,78.13,11.54,13.9,NA,NA,NA,NA,NA,1.4,NA,13.5,NA,NA,,NA,59.9,NA,,NA,,2.8,,50.5,NA,NA,NA,NA,1.1,6.1,
2.52,Kpond,BullFrogTadpole,11/2/2023,36,0.2067,77.81,14.03,131.3,NA,NA,NA,NA,NA,NA,NA,10.1,NA,NA,,NA,61.7,NA,,NA,,2.7,,29.9,NA,NA,NA,NA,NA,7.8,
2.52,Kpond,BullFrogTadpole,11/2/2023, pre-25 ,0.2019,65.22,4.95,9.3,NA,NA,NA,NA,NA,NA,NA,3.8,NA,NA,,NA,8.8,NA,,NA,,NA,,8,NA,NA,NA,NA,NA,2,
2.52,Kpond,BullFrogTadpole,11/2/2023,39,0.2133,79.33,13.6,10.1,NA,NA,NA,NA,NA,2.3,NA,30.6,NA,NA,,NA,64.7,NA,,NA,,4.4,,48.4,NA,NA,NA,NA,3.2,20,
2.52,Kpond,BullFrogTadpole,11/2/2023,41,0.1857,80.12,7.54,5.7,NA,NA,NA,NA,NA,NA,NA,1.8,NA,NA,,NA,5.6,NA,,NA,,NA,,6.7,NA,NA,NA,NA,NA,4.4,
2.52,Kpond,BullFrogTadpole,11/2/2023,37,0.2282,79.93,16.65,15.9,NA,NA,NA,NA,NA,0.9,NA,12.6,NA,NA,,NA,40.3,NA,,NA,,1.7,,27.6,NA,NA,NA,NA,1,21.6,
2.52,Kpond,BullFrogTadpole,11/2/2023,33,0.2102,79.62,12.37,15.4,NA,NA,NA,NA,NA,1.4,NA,18,NA,NA,,NA,66.4,NA,,NA,,3.2,,59.7,NA,NA,NA,NA,1.2,11.1,
7.91,Npond,BullFrogTadpole,11/15/2023,35,0.201,79.2,10.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,,NA,,NA,,NA,NA,10.4,53.6,NA,NA,NA,
7.91,Npond,BullFrogTadpole,11/15/2023,36,0.2009,68.19,8.96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,,NA,,NA,,NA,NA,4.1,26.4,NA,NA,NA,
7.91,Npond,BullFrogTadpole,11/15/2023,33,0.2005,81.62,11.47,NA,NA,NA,NA,NA,NA,NA,NA,7.9,NA,NA,,NA,NA,NA,,NA,,1.6,,NA,NA,5.1,30,NA,1.3,NA,
7.91,Npond,BullFrogTadpole,11/15/2023,34,0.2007,74.15,14.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,,NA,,NA,,NA,NA,5.7,41.4,NA,NA,NA,
7.91,Npond,BullFrogTadpole,11/15/2023,37,0.2011,78.05,15.91,NA,NA,NA,NA,NA,NA,NA,NA,1.8,NA,NA,,NA,NA,NA,,NA,,NA,,NA,NA,12,69.9,NA,1.6,NA,
9.06,Npond,BullFrogTadpole,10/26/2023, pre-25 ,0.192,75.31,12.5,NA,NA,NA,NA,NA,NA,NA,NA,1.5,NA,NA,,NA,NA,NA,,NA,,NA,,NA,NA,4.3,28.5,NA,NA,NA,
9.06,Npond,BullFrogTadpole,10/26/2023, pre-25 ,0.206,72.68,16.02,NA,NA,NA,NA,NA,NA,NA,NA,4.8,NA,NA,,NA,NA,NA,,NA,,NA,,NA,NA,5,33.7,NA,1.6,NA,
7.91,Npond,BullFrogTadpole,11/15/2023,37,0.2181,78.24,8.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,,NA,,NA,,NA,NA,6.6,35.8,NA,NA,NA,
9.97,NGpond_p1,BullFrogTadpole,11/16/2023,37,0.2182,78.89,8.25,NA,NA,NA,NA,NA,NA,NA,NA,1.5,NA,NA,,NA,4.7,NA,,NA,,2.3,,NA,NA,NA,NA,NA,2.1,3.6,
9.97,NGpond_p1,BullFrogTadpole,11/16/2023,37,0.2134,83.03,7.97,NA,NA,NA,NA,NA,NA,NA,NA,1.9,NA,NA,,NA,2.4,NA,,NA,,3,,NA,NA,NA,NA,NA,NA,NA,
9.97,NGpond_p1,BullFrogTadpole,11/16/2023,37,0.2179,82.24,9.18,NA,NA,NA,NA,NA,NA,NA,2.3,NA,NA,NA,,NA,1.7,NA,,NA,,1.3,,NA,NA,NA,NA,NA,NA,3.1,
9.97,NGpond_p1,BullFrogTadpole,11/16/2023,37,0.2048,79.41,10.25,NA,NA,NA,NA,NA,NA,NA,2.9,NA,NA,NA,,NA,1.5,NA,,NA,,1.6,,NA,NA,NA,NA,NA,NA,1.6,
9.97,NGpond_p1,BullFrogTadpole,11/16/2023,36,0.2061,76.22,5.82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,,NA,,NA,,NA,NA,NA,NA,NA,NA,NA,
9.97,NGpond_p1,BullFrogTadpole,11/16/2023,37,0.2236,83.09,13.86,NA,NA,NA,NA,NA,NA,NA,3.6,NA,NA,NA,,NA,NA,NA,,NA,,NA,,NA,NA,NA,1.9,NA,NA,4.8,
9.97,NGpond_p1,BullFrogTadpole,11/16/2023,33,0.2107,83.29,7.59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,,NA,,1.7,,NA,NA,NA,NA,NA,NA,10.1,
9.97,NGpond_p1,BullFrogTadpole,11/16/2023,37,0.1961,81.5,8.67,NA,NA,7.4,NA,NA,NA,NA,NA,NA,NA,NA,,NA,2,NA,,NA,,3.2,,NA,NA,NA,NA,NA,NA,0.8,
9.97,NGpond_p1,BullFrogTadpole,11/16/2023,38,0.2031,83.98,14.28,NA,NA,NA,NA,NA,NA,NA,2.4,NA,NA,NA,,NA,NA,NA,,NA,,2.3,,NA,NA,NA,1.3,NA,NA,9.2,
9.97,NGpond_p1,BullFrogTadpole,11/16/2023,38,0.2219,80.46,14.87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,3,NA,,NA,,3,,NA,NA,NA,2.2,NA,NA,NA,
19.01,NGpond,BullFrogTadpole,5/29/2024,37,0.2126,83.52,7.06,NA,NA,NA,NA,NA,NA,NA,3.4,2.1,NA,NA,,NA,NA,0.9,,NA,,3.5,,NA,NA,NA,NA,NA,NA,2.5,
19.01,NGpond,BullFrogTadpole,5/29/2024,37,0.183,80.95,11.48,NA,NA,NA,NA,NA,NA,NA,2.8,2.5,NA,NA,,NA,NA,3.2,,NA,,3.7,,NA,NA,NA,NA,NA,NA,1.7,
19.01,NGpond,BullFrogTadpole,5/29/2024,38,0.2071,81.92,9.17,NA,NA,NA,NA,NA,NA,NA,2.1,2,NA,NA,,NA,NA,1.2,,NA,,2.3,,NA,NA,NA,NA,NA,NA,1.4,
19.01,NGpond,BullFrogTadpole,5/29/2024,37,0.2085,78.27,9.59,NA,NA,NA,NA,NA,NA,NA,2.4,NA,NA,NA,,NA,NA,2.5,,NA,,2,,NA,NA,NA,NA,NA,NA,1.7,
19.01,NGpond,BullFrogTadpole,5/29/2024,37,0.2207,81.15,7.7,NA,NA,NA,NA,NA,NA,NA,2.1,1,NA,NA,,NA,NA,2.8,,NA,,2.8,,NA,NA,NA,NA,NA,NA,NA,
19.01,NGpond,BullFrogTadpole,5/29/2024,P27,0.2091,79.33,1.91,NA,NA,NA,NA,NA,NA,NA,1.8,1.7,NA,NA,,NA,NA,NA,,NA,,2.8,,NA,NA,NA,NA,NA,NA,1.7,
19.01,NGpond,BullFrogTadpole,5/29/2024,35,0.2118,78.58,8.5,NA,NA,NA,NA,NA,NA,NA,3.5,2.2,NA,NA,,NA,NA,3.4,,NA,,3.6,,NA,NA,NA,NA,NA,NA,4.6,
19.01,NGpond,BullFrogTadpole,5/29/2024,37,0.2022,79.38,7.42,NA,NA,NA,NA,NA,NA,NA,4.8,NA,NA,NA,,NA,NA,3.8,,NA,,2.3,,NA,NA,NA,NA,NA,NA,1.9,
19.01,NGpond,BullFrogTadpole,5/29/2024,35,0.22,80.33,9.55,NA,NA,NA,NA,NA,NA,NA,2.2,NA,NA,NA,,NA,NA,1.4,,NA,,3.1,,NA,NA,NA,NA,NA,NA,2.2,
19.01,NGpond,BullFrogTadpole,5/29/2024,37,0.2004,79.45,4.99,NA,NA,NA,NA,NA,NA,NA,2.3,1.2,NA,NA,,NA,NA,NA,,NA,,2.6,,NA,NA,NA,NA,NA,NA,NA,
20.08,Zpond,BullFrogTadpole,5/30/2024,36,0.1998,85.55,10.01,NA,NA,NA,NA,NA,NA,NA,NA,2.9,NA,NA,,3.7,NA,NA,,NA,,3.5,,NA,NA,NA,NA,NA,NA,NA,
20.08,Zpond,BullFrogTadpole,5/30/2024,36,0.2055,83.62,8.76,NA,NA,NA,NA,NA,NA,NA,NA,1.3,NA,NA,,4.7,NA,NA,,NA,,2.5,,NA,NA,NA,NA,NA,NA,NA,
20.08,Zpond,BullFrogTadpole,5/30/2024,35,0.1964,85.54,10.69,NA,NA,NA,NA,NA,NA,NA,NA,3.9,NA,NA,,4.1,NA,NA,,NA,,4,,NA,NA,NA,NA,NA,NA,NA,
20.08,Zpond,BullFrogTadpole,5/30/2024,35,0.1966,84.16,5.6,NA,NA,NA,NA,NA,NA,NA,NA,2.9,NA,NA,,4.1,NA,NA,,NA,,3.6,,NA,NA,NA,NA,NA,NA,NA,
20.08,Zpond,BullFrogTadpole,5/30/2024,34,0.1966,85.84,11.19,NA,NA,NA,NA,NA,NA,NA,NA,4.1,NA,NA,,5.2,NA,NA,,NA,,5.9,,NA,NA,NA,NA,NA,NA,NA,
18.86,Npond,BullFrogTadpole,5/24/2024,P27,0.126,79.6,5.56,NA,2.3,NA,NA,NA,NA,NA,NA,12.3,NA,16.8,,NA,14.2,5.6,,NA,,NA,,NA,5.1,7.1,14.5,2.2,NA,NA,
18.86,Npond,BullFrogTadpole,5/24/2024,P27,0.1995,80.94,6.02,NA,6.2,NA,NA,NA,NA,NA,NA,6.7,NA,30.2,,NA,7.7,9.5,,3.7,,NA,,NA,6,17.2,22.3,4.2,NA,NA,
18.86,Npond,BullFrogTadpole,5/24/2024,P27,0.1968,84.95,12.7,NA,7.2,NA,NA,NA,NA,NA,NA,7.4,NA,30.9,,NA,9.3,10.7,,8.1,,NA,,NA,9.2,14.4,34.4,4.9,NA,NA,
18.86,Npond,BullFrogTadpole,5/24/2024,P27,0.182,84.07,9.34,NA,4.4,NA,NA,NA,NA,NA,NA,9.3,NA,20.3,,NA,11,7,,NA,,NA,,NA,11.8,7.6,24.6,8.4,NA,NA,
18.86,Npond,BullFrogTadpole,5/24/2024,P27,0.2111,81.93,9.47,NA,6.3,NA,NA,NA,NA,NA,NA,7.4,NA,21.5,,NA,10.8,5.3,,3,,NA,,NA,5.7,9,23.5,1.4,NA,NA,
18.86,Npond,BullFrogTadpole,5/24/2024,P27,0.2058,79.43,5.83,NA,6.6,NA,NA,NA,NA,NA,NA,9.9,NA,34.7,,NA,10.4,12.4,,4.7,,NA,,NA,3.1,24.5,53.5,4.7,NA,NA,
18.86,Npond,BullFrogTadpole,5/24/2024,35,0.1948,81.04,10.27,4.5,16.7,NA,NA,NA,NA,NA,NA,4.4,NA,58.9,,NA,4.5,28,,5.6,,NA,,NA,NA,22.7,52.7,2.3,NA,NA,
18.86,Npond,BullFrogTadpole,5/24/2024,34,0.2069,82.14,9.67,3.2,11.1,NA,NA,NA,NA,NA,NA,4.9,NA,34.2,,NA,3.9,16.9,,4.8,,NA,,NA,NA,15.4,40.9,2.7,NA,NA,
18.86,Npond,BullFrogTadpole,5/24/2024,P27,0.2078,81.94,9.62,NA,8.5,NA,NA,NA,NA,NA,NA,5,NA,37.1,,NA,6.3,14.1,,3,,NA,,NA,NA,24,47.8,6.2,NA,NA,
20.85,Kpond,BullFrogTadpole,6/5/2024,P27,0.2072,85.89,13.03,7.9,18.9,NA,NA,14.8,NA,NA,NA,22.2,NA,NA,,NA,47.8,37.7,,NA,,1.7,,8.8,NA,NA,NA,NA,NA,1.1,
20.85,Kpond,BullFrogTadpole,6/5/2024,28,0.2057,85.66,11.67,6.2,20.8,NA,NA,20,NA,NA,NA,45.8,NA,NA,,NA,21.2,36.4,,NA,,1.8,,8.3,NA,NA,NA,NA,NA,1.6,
20.85,Kpond,BullFrogTadpole,6/5/2024,37,0.2035,85.62,6.88,8.8,23.5,NA,NA,13.2,NA,NA,NA,42.4,NA,NA,,NA,33.4,46.1,,NA,,2.3,,11,NA,NA,NA,NA,NA,3.2,
20.85,Kpond,BullFrogTadpole,6/5/2024,P27,0.2058,84.87,13.61,6.2,22,NA,NA,18.1,NA,NA,NA,35.9,NA,NA,,NA,39.4,46.9,,NA,,3.2,,13.2,NA,NA,NA,NA,NA,3.6,
20.85,Kpond,BullFrogTadpole,6/5/2024,P27,0.2018,85.09,11.89,3.7,19.6,NA,NA,19.6,NA,NA,NA,37.2,NA,NA,,NA,48.5,32.5,,NA,,1.9,,11.7,NA,NA,NA,NA,NA,6.8,
18.86,Npond,BullFrogTadpole,5/24/2024,P27,0.2014,82.84,6.95,NA,8.1,NA,NA,NA,NA,NA,NA,4.4,NA,27.4,,NA,4.5,13.8,,6.1,,NA,,NA,NA,12.8,27.5,4.9,NA,NA,
18.86,Kpond,BullFrogTadpole,5/24/2024,P27,0.2074,85.79,4.82,7.6,16,NA,NA,84,NA,NA,NA,46.7,NA,NA,,NA,79.5,42.4,,NA,,2.7,,19.8,NA,NA,NA,NA,NA,12.1,
20.85,Kpond,BullFrogTadpole,6/5/2024,P28,0.2081,85.54,12.01,NA,24.1,NA,NA,17.4,NA,NA,NA,40.9,NA,NA,,NA,34.9,46.4,,NA,,2,,9.8,NA,NA,NA,NA,NA,9.3,
