"location_id","Replicate","Rotation","Stover","Grass_Trt","PGC_biomass_kgHA","Weed_biomass_kgHA"
"FAB_CTV_keystone","b2","cs","grn","rhb",1571,0
"FAB_CTV_keystone","b2","sc","stv","kbg",0,191.9
"FAB_CTV_keystone","b2","sc","stv","ctl",0,135
"FAB_CTV_keystone","b2","sc","stv","rhb",959.7,145.6
"FAB_CTV_keystone","b2","sc","grn","kbg",0,837.1
"FAB_CTV_keystone","b2","sc","grn","ctl",0,388.4
"FAB_CTV_keystone","b2","sc","grn","rhb",0,1269.4
"FAB_CTV_keystone","b3","cc","stv","kbg",471.4,267.1
"FAB_CTV_keystone","b3","cc","stv","ctl",0,1602.4
"FAB_CTV_keystone","b3","cc","stv","rhb",783.4,0
"FAB_CTV_keystone","b3","cc","grn","kbg",302.6,222
"FAB_CTV_keystone","b3","cc","grn","ctl",0,1092.5
"FAB_CTV_keystone","b3","cc","grn","rhb",704.5,81.2
"FAB_CTV_keystone","b3","cs","stv","kbg",0,844.6
"FAB_CTV_keystone","b3","cs","stv","ctl",0,204.4
"FAB_CTV_keystone","b3","cs","stv","rhb",1124.6,0
"FAB_CTV_keystone","b3","cs","grn","kbg",0,533.4
"FAB_CTV_keystone","b3","cs","grn","ctl",0,505.3
"FAB_CTV_keystone","b3","cs","grn","rhb",1249.7,678.2
"FAB_CTV_keystone","b3","sc","stv","kbg",0,963.5
"FAB_CTV_keystone","b3","sc","stv","ctl",0,182.5
"FAB_CTV_keystone","b3","sc","stv","rhb",0,1963.2
"FAB_CTV_keystone","b3","sc","grn","kbg",0,478.4
"FAB_CTV_keystone","b3","sc","grn","ctl",0,190.2
"FAB_CTV_keystone","b3","sc","grn","rhb",1503.4,54.8
"FAB_UNL_keystone","b1","cs","grn","ctl",0,1185
"FAB_UNL_keystone","b1","cs","grn","rhb",1000,647
"FAB_UNL_keystone","b1","cs","grn","kbg",1077,187
"FAB_UNL_keystone","b1","cs","stv","rhb",1359,0
"FAB_UNL_keystone","b1","cs","stv","kbg",774,0
"FAB_UNL_keystone","b1","cs","stv","ctl",0,772
"FAB_UNL_keystone","b1","sc","stv","rhb",749,290
"FAB_UNL_keystone","b1","sc","stv","kbg",1001,711
"FAB_UNL_keystone","b1","sc","stv","ctl",0,1058
"FAB_UNL_keystone","b1","sc","grn","kbg",344,99
"FAB_UNL_keystone","b1","sc","grn","ctl",0,0
"FAB_UNL_keystone","b1","sc","grn","rhb",515,0
"FAB_UNL_keystone","b1","cc","grn","kbg",158,0
"FAB_UNL_keystone","b1","cc","grn","ctl",0,121
"FAB_UNL_keystone","b1","cc","grn","rhb",240,0
"FAB_UNL_keystone","b1","cc","stv","ctl",0,0
"FAB_UNL_keystone","b1","cc","stv","rhb",285,134
"FAB_UNL_keystone","b1","cc","stv","kbg",328,146
"FAB_UNL_keystone","b2","cs","grn","rhb",870,1007
"FAB_UNL_keystone","b2","cs","grn","kbg",625,1368
"FAB_UNL_keystone","b2","cs","grn","ctl",0,2510
"FAB_UNL_keystone","b2","cs","stv","kbg",1068,112
"FAB_UNL_keystone","b2","cs","stv","ctl",0,377
"FAB_UNL_keystone","b2","cs","stv","rhb",852,118
"FAB_UNL_keystone","b2","cc","stv","kbg",536,393
"FAB_UNL_keystone","b2","cc","stv","ctl",0,1338
"FAB_UNL_keystone","b2","cc","stv","rhb",1118,106
"FAB_UNL_keystone","b2","cc","grn","ctl",0,589
"FAB_UNL_keystone","b2","cc","grn","rhb",1007,41
"FAB_UNL_keystone","b2","cc","grn","kbg",647,124
"FAB_UNL_keystone","b2","sc","grn","ctl",0,193
"FAB_UNL_keystone","b2","sc","grn","rhb",426,0
"FAB_UNL_keystone","b2","sc","grn","kbg",360,0
"FAB_UNL_keystone","b2","sc","stv","rhb",514,0
"FAB_UNL_keystone","b2","sc","stv","kbg",153,110
"FAB_UNL_keystone","b2","sc","stv","ctl",0,167
"FAB_UNL_keystone","b3","cc","stv","kbg",247,370
"FAB_UNL_keystone","b3","cc","stv","rhb",765,0
"FAB_UNL_keystone","b3","cc","stv","ctl",0,270
"FAB_UNL_keystone","b3","cc","grn","rhb",1123,0
"FAB_UNL_keystone","b3","cc","grn","kbg",895,61
"FAB_UNL_keystone","b3","cc","grn","ctl",0,0
"FAB_UNL_keystone","b3","cs","grn","ctl",0,5
"FAB_UNL_keystone","b3","cs","grn","kbg",426,0
"FAB_UNL_keystone","b3","cs","grn","rhb",683,0
"FAB_UNL_keystone","b3","cs","stv","kbg",481,0
"FAB_UNL_keystone","b3","cs","stv","ctl",0,1735
"FAB_UNL_keystone","b3","cs","stv","rhb",270,733
"FAB_UNL_keystone","b3","sc","stv","rhb",740,8
"FAB_UNL_keystone","b3","sc","stv","ctl",0,820
"FAB_UNL_keystone","b3","sc","stv","kbg",596,18
"FAB_UNL_keystone","b3","sc","grn","ctl",0,654
"FAB_UNL_keystone","b3","sc","grn","rhb",1350,1755
"FAB_UNL_keystone","b3","sc","grn","kbg",742,191
